RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (441 Receptors)
SURFACE FILE: ./ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, # Hours, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,   24,      680.000,     -140.000,        0.000,   0.952871E+03, 
 1988,   61,   24,      720.000,     -140.000,        0.000,   0.963197E+03, 
 1988,   61,   24,      760.000,     -140.000,        0.000,   0.977620E+03, 
 1988,   61,   24,      800.000,     -140.000,        0.000,   0.975581E+03, 
 1988,   61,   24,        0.000,     -120.000,        0.000,   0.542768E+03, 
 1988,   61,   24,       40.000,     -120.000,        0.000,   0.685746E+03, 
 1988,   61,   24,       80.000,     -120.000,        0.000,   0.800419E+03, 
 1988,   61,   24,      120.000,     -120.000,        0.000,   0.922027E+03, 
 1988,   61,   24,      160.000,     -120.000,        0.000,   0.994493E+03, 
 1988,   61,   24,      200.000,     -120.000,        0.000,   0.103181E+04, 
 1988,   61,   24,      240.000,     -120.000,        0.000,   0.105170E+04, 
 1988,   61,   24,      280.000,     -120.000,        0.000,   0.107516E+04, 
 1988,   61,   24,      320.000,     -120.000,        0.000,   0.109332E+04, 
 1988,   61,   24,      360.000,     -120.000,        0.000,   0.110707E+04, 
 1988,   61,   24,      400.000,     -120.000,        0.000,   0.111432E+04, 
 1988,   61,   24,      440.000,     -120.000,        0.000,   0.113841E+04, 
 1988,   61,   24,      480.000,     -120.000,        0.000,   0.116564E+04, 
 1988,   61,   24,      520.000,     -120.000,        0.000,   0.117434E+04, 
 1988,   61,   24,      560.000,     -120.000,        0.000,   0.120588E+04, 
 1988,   61,   24,      600.000,     -120.000,        0.000,   0.122030E+04, 
 1988,   61,   24,      640.000,     -120.000,        0.000,   0.124595E+04, 
 1988,   61,   24,      680.000,     -120.000,        0.000,   0.126730E+04, 
 1988,   61,   24,      720.000,     -120.000,        0.000,   0.129536E+04, 
 1988,   61,   24,      760.000,     -120.000,        0.000,   0.132705E+04, 
 1988,   61,   24,      800.000,     -120.000,        0.000,   0.132920E+04, 
 1988,   61,   24,        0.000,     -100.000,        0.000,   0.700848E+03, 
 1988,   61,   24,       40.000,     -100.000,        0.000,   0.912334E+03, 
 1988,   61,   24,       80.000,     -100.000,        0.000,   0.107072E+04, 
 1988,   61,   24,      120.000,     -100.000,        0.000,   0.124234E+04, 
 1988,   61,   24,      160.000,     -100.000,        0.000,   0.131701E+04, 
 1988,   61,   24,      200.000,     -100.000,        0.000,   0.136838E+04, 
 1988,   61,   24,      240.000,     -100.000,        0.000,   0.139824E+04, 
 1988,   61,   24,      280.000,     -100.000,        0.000,   0.143559E+04, 
 1988,   61,   24,      320.000,     -100.000,        0.000,   0.145878E+04, 
 1988,   61,   24,      360.000,     -100.000,        0.000,   0.148804E+04, 
 1988,   61,   24,      400.000,     -100.000,        0.000,   0.152880E+04, 
 1988,   61,   24,      440.000,     -100.000,        0.000,   0.156433E+04, 
 1988,   61,   24,      480.000,     -100.000,        0.000,   0.161267E+04, 
 1988,   61,   24,      520.000,     -100.000,        0.000,   0.164924E+04, 
 1988,   61,   24,      560.000,     -100.000,        0.000,   0.169818E+04, 
 1988,   61,   24,      600.000,     -100.000,        0.000,   0.173309E+04, 
 1988,   61,   24,      640.000,     -100.000,        0.000,   0.177551E+04, 
 1988,   61,   24,      680.000,     -100.000,        0.000,   0.180767E+04, 
 1988,   61,   24,      720.000,     -100.000,        0.000,   0.184734E+04, 
 1988,   61,   24,      760.000,     -100.000,        0.000,   0.191126E+04, 
 1988,   61,   24,      800.000,     -100.000,        0.000,   0.193048E+04, 
 1988,   61,   24,        0.000,      -80.000,        0.000,   0.895464E+03, 
 1988,   61,   24,       40.000,      -80.000,        0.000,   0.116300E+04, 
 1988,   61,   24,       80.000,      -80.000,        0.000,   0.140376E+04, 
 1988,   61,   24,      120.000,      -80.000,        0.000,   0.163261E+04, 
 1988,   61,   24,      160.000,      -80.000,        0.000,   0.174524E+04, 
 1988,   61,   24,      200.000,      -80.000,        0.000,   0.180332E+04, 
 1988,   61,   24,      240.000,      -80.000,        0.000,   0.186625E+04, 
 1988,   61,   24,      280.000,      -80.000,        0.000,   0.193526E+04, 
 1988,   61,   24,      320.000,      -80.000,        0.000,   0.200353E+04, 
 1988,   61,   24,      360.000,      -80.000,        0.000,   0.206534E+04, 
 1988,   61,   24,      400.000,      -80.000,        0.000,   0.214733E+04, 
 1988,   61,   24,      440.000,      -80.000,        0.000,   0.223607E+04, 
 1988,   61,   24,      480.000,      -80.000,        0.000,   0.231255E+04, 
 1988,   61,   24,      520.000,      -80.000,        0.000,   0.239145E+04, 
 1988,   61,   24,      560.000,      -80.000,        0.000,   0.246700E+04, 
 1988,   61,   24,      600.000,      -80.000,        0.000,   0.254617E+04, 
 1988,   61,   24,      640.000,      -80.000,        0.000,   0.260957E+04, 
 1988,   61,   24,      680.000,      -80.000,        0.000,   0.268696E+04, 
 1988,   61,   24,      720.000,      -80.000,        0.000,   0.274834E+04, 
 1988,   61,   24,      760.000,      -80.000,        0.000,   0.280668E+04, 
 1988,   61,   24,      800.000,      -80.000,        0.000,   0.286296E+04, 
 1988,   61,   24,        0.000,      -60.000,        0.000,   0.115706E+04, 
 1988,   61,   24,       40.000,      -60.000,        0.000,   0.152792E+04, 
 1988,   61,   24,       80.000,      -60.000,        0.000,   0.182879E+04, 
 1988,   61,   24,      120.000,      -60.000,        0.000,   0.214391E+04, 
 1988,   61,   24,      160.000,      -60.000,        0.000,   0.231471E+04, 
 1988,   61,   24,      200.000,      -60.000,        0.000,   0.248592E+04, 
 1988,   61,   24,      240.000,      -60.000,        0.000,   0.262709E+04, 
 1988,   61,   24,      280.000,      -60.000,        0.000,   0.281267E+04, 
 1988,   61,   24,      320.000,      -60.000,        0.000,   0.295663E+04, 
 1988,   61,   24,      360.000,      -60.000,        0.000,   0.312497E+04, 
 1988,   61,   24,      400.000,      -60.000,        0.000,   0.324992E+04, 
 1988,   61,   24,      440.000,      -60.000,        0.000,   0.341155E+04, 
 1988,   61,   24,      480.000,      -60.000,        0.000,   0.353088E+04, 
 1988,   61,   24,      520.000,      -60.000,        0.000,   0.367272E+04, 
 1988,   61,   24,      560.000,      -60.000,        0.000,   0.379031E+04, 
 1988,   61,   24,      600.000,      -60.000,        0.000,   0.390665E+04, 
 1988,   61,   24,      640.000,      -60.000,        0.000,   0.403301E+04, 
 1988,   61,   24,      680.000,      -60.000,        0.000,   0.409966E+04, 
 1988,   61,   24,      720.000,      -60.000,        0.000,   0.421226E+04, 
 1988,   61,   24,      760.000,      -60.000,        0.000,   0.429490E+04, 
 1988,   61,   24,      800.000,      -60.000,        0.000,   0.435101E+04, 
 1988,   61,   24,        0.000,      -40.000,        0.000,   0.162767E+04, 
 1988,   61,   24,       40.000,      -40.000,        0.000,   0.229482E+04, 
 1988,   61,   24,       80.000,      -40.000,        0.000,   0.276489E+04, 
 1988,   61,   24,      120.000,      -40.000,        0.000,   0.331637E+04, 
 1988,   61,   24,      160.000,      -40.000,        0.000,   0.376059E+04, 
 1988,   61,   24,      200.000,      -40.000,        0.000,   0.420482E+04, 
 1988,   61,   24,      240.000,      -40.000,        0.000,   0.458010E+04, 
 1988,   61,   24,      280.000,      -40.000,        0.000,   0.494600E+04, 
 1988,   61,   24,      320.000,      -40.000,        0.000,   0.523835E+04, 
 1988,   61,   24,      360.000,      -40.000,        0.000,   0.551941E+04, 
 1988,   61,   24,      400.000,      -40.000,        0.000,   0.575737E+04, 
 1988,   61,   24,      440.000,      -40.000,        0.000,   0.598416E+04, 
 1988,   61,   24,      480.000,      -40.000,        0.000,   0.618018E+04, 
 1988,   61,   24,      520.000,      -40.000,        0.000,   0.637700E+04, 
 1988,   61,   24,      560.000,      -40.000,        0.000,   0.654839E+04, 
 1988,   61,   24,      600.000,      -40.000,        0.000,   0.670839E+04, 
 1988,   61,   24,      640.000,      -40.000,        0.000,   0.686764E+04, 
 1988,   61,   24,      680.000,      -40.000,        0.000,   0.698647E+04, 
 1988,   61,   24,      720.000,      -40.000,        0.000,   0.710707E+04, 
 1988,   61,   24,      760.000,      -40.000,        0.000,   0.721600E+04, 
 1988,   61,   24,      800.000,      -40.000,        0.000,   0.731036E+04, 
 1988,   61,   24,        0.000,      -20.000,        0.000,   0.270244E+04, 
 1988,   61,   24,       40.000,      -20.000,        0.000,   0.459851E+04, 
 1988,   61,   24,       80.000,      -20.000,        0.000,   0.627901E+04, 
 1988,   61,   24,      120.000,      -20.000,        0.000,   0.743972E+04, 
 1988,   61,   24,      160.000,      -20.000,        0.000,   0.851471E+04, 
 1988,   61,   24,      200.000,      -20.000,        0.000,   0.941922E+04, 
 1988,   61,   24,      240.000,      -20.000,        0.000,   0.101214E+05, 
 1988,   61,   24,      280.000,      -20.000,        0.000,   0.107355E+05, 
 1988,   61,   24,      320.000,      -20.000,        0.000,   0.112050E+05, 
 1988,   61,   24,      360.000,      -20.000,        0.000,   0.116166E+05, 
 1988,   61,   24,      400.000,      -20.000,        0.000,   0.119711E+05, 
