RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (441 Receptors)
SURFACE FILE: ./ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,    1,      680.000,     -140.000,        0.000,   0.167055E+04, 
 1988,   61,    1,      720.000,     -140.000,        0.000,   0.168205E+04, 
 1988,   61,    1,      760.000,     -140.000,        0.000,   0.168135E+04, 
 1988,   61,    1,      800.000,     -140.000,        0.000,   0.161721E+04, 
 1988,   61,    1,        0.000,     -120.000,        0.000,   0.105530E+04, 
 1988,   61,    1,       40.000,     -120.000,        0.000,   0.133093E+04, 
 1988,   61,    1,       80.000,     -120.000,        0.000,   0.155506E+04, 
 1988,   61,    1,      120.000,     -120.000,        0.000,   0.178026E+04, 
 1988,   61,    1,      160.000,     -120.000,        0.000,   0.191845E+04, 
 1988,   61,    1,      200.000,     -120.000,        0.000,   0.200783E+04, 
 1988,   61,    1,      240.000,     -120.000,        0.000,   0.203693E+04, 
 1988,   61,    1,      280.000,     -120.000,        0.000,   0.206774E+04, 
 1988,   61,    1,      320.000,     -120.000,        0.000,   0.209479E+04, 
 1988,   61,    1,      360.000,     -120.000,        0.000,   0.205471E+04, 
 1988,   61,    1,      400.000,     -120.000,        0.000,   0.202048E+04, 
 1988,   61,    1,      440.000,     -120.000,        0.000,   0.213205E+04, 
 1988,   61,    1,      480.000,     -120.000,        0.000,   0.212418E+04, 
 1988,   61,    1,      520.000,     -120.000,        0.000,   0.210306E+04, 
 1988,   61,    1,      560.000,     -120.000,        0.000,   0.208089E+04, 
 1988,   61,    1,      600.000,     -120.000,        0.000,   0.209843E+04, 
 1988,   61,    1,      640.000,     -120.000,        0.000,   0.209326E+04, 
 1988,   61,    1,      680.000,     -120.000,        0.000,   0.205845E+04, 
 1988,   61,    1,      720.000,     -120.000,        0.000,   0.208431E+04, 
 1988,   61,    1,      760.000,     -120.000,        0.000,   0.206382E+04, 
 1988,   61,    1,      800.000,     -120.000,        0.000,   0.201761E+04, 
 1988,   61,    1,        0.000,     -100.000,        0.000,   0.142060E+04, 
