RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (441 Receptors)
SURFACE FILE: ./ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,    1,      680.000,     -140.000,        0.000,   0.417636E+04, 
 1988,   61,    1,      720.000,     -140.000,        0.000,   0.420512E+04, 
 1988,   61,    1,      760.000,     -140.000,        0.000,   0.420337E+04, 
 1988,   61,    1,      800.000,     -140.000,        0.000,   0.404301E+04, 
 1988,   61,    1,        0.000,     -120.000,        0.000,   0.263826E+04, 
 1988,   61,    1,       40.000,     -120.000,        0.000,   0.332732E+04, 
 1988,   61,    1,       80.000,     -120.000,        0.000,   0.388765E+04, 
 1988,   61,    1,      120.000,     -120.000,        0.000,   0.445064E+04, 
 1988,   61,    1,      160.000,     -120.000,        0.000,   0.479613E+04, 
 1988,   61,    1,      200.000,     -120.000,        0.000,   0.501959E+04, 
 1988,   61,    1,      240.000,     -120.000,        0.000,   0.509232E+04, 
 1988,   61,    1,      280.000,     -120.000,        0.000,   0.516934E+04, 
 1988,   61,    1,      320.000,     -120.000,        0.000,   0.523699E+04, 
 1988,   61,    1,      360.000,     -120.000,        0.000,   0.513676E+04, 
 1988,   61,    1,      400.000,     -120.000,        0.000,   0.505120E+04, 
 1988,   61,    1,      440.000,     -120.000,        0.000,   0.533012E+04, 
 1988,   61,    1,      480.000,     -120.000,        0.000,   0.531044E+04, 
 1988,   61,    1,      520.000,     -120.000,        0.000,   0.525764E+04, 
 1988,   61,    1,      560.000,     -120.000,        0.000,   0.520220E+04, 
 1988,   61,    1,      600.000,     -120.000,        0.000,   0.524605E+04, 
 1988,   61,    1,      640.000,     -120.000,        0.000,   0.523313E+04, 
 1988,   61,    1,      680.000,     -120.000,        0.000,   0.514609E+04, 
 1988,   61,    1,      720.000,     -120.000,        0.000,   0.521074E+04, 
 1988,   61,    1,      760.000,     -120.000,        0.000,   0.515951E+04, 
 1988,   61,    1,      800.000,     -120.000,        0.000,   0.504399E+04, 
 1988,   61,    1,        0.000,     -100.000,        0.000,   0.355149E+04, 
 1988,   61,    1,       40.000,     -100.000,        0.000,   0.442175E+04, 
 1988,   61,    1,       80.000,     -100.000,        0.000,   0.524944E+04, 
 1988,   61,    1,      120.000,     -100.000,        0.000,   0.609309E+04, 
 1988,   61,    1,      160.000,     -100.000,        0.000,   0.630670E+04, 
 1988,   61,    1,      200.000,     -100.000,        0.000,   0.660491E+04, 
 1988,   61,    1,      240.000,     -100.000,        0.000,   0.668096E+04, 
 1988,   61,    1,      280.000,     -100.000,        0.000,   0.681380E+04, 
 1988,   61,    1,      320.000,     -100.000,        0.000,   0.675101E+04, 
 1988,   61,    1,      360.000,     -100.000,        0.000,   0.682510E+04, 
 1988,   61,    1,      400.000,     -100.000,        0.000,   0.676829E+04, 
 1988,   61,    1,      440.000,     -100.000,        0.000,   0.684262E+04, 
 1988,   61,    1,      480.000,     -100.000,        0.000,   0.676525E+04, 
 1988,   61,    1,      520.000,     -100.000,        0.000,   0.684849E+04, 
 1988,   61,    1,      560.000,     -100.000,        0.000,   0.687279E+04, 
 1988,   61,    1,      600.000,     -100.000,        0.000,   0.672670E+04, 
 1988,   61,    1,      640.000,     -100.000,        0.000,   0.673529E+04, 
 1988,   61,    1,      680.000,     -100.000,        0.000,   0.678261E+04, 
 1988,   61,    1,      720.000,     -100.000,        0.000,   0.645528E+04, 
 1988,   61,    1,      760.000,     -100.000,        0.000,   0.681519E+04, 
 1988,   61,    1,      800.000,     -100.000,        0.000,   0.661086E+04, 
 1988,   61,    1,        0.000,      -80.000,        0.000,   0.458294E+04, 
 1988,   61,    1,       40.000,      -80.000,        0.000,   0.637527E+04, 
 1988,   61,    1,       80.000,      -80.000,        0.000,   0.730503E+04, 
 1988,   61,    1,      120.000,      -80.000,        0.000,   0.854368E+04, 
 1988,   61,    1,      160.000,      -80.000,        0.000,   0.872561E+04, 
 1988,   61,    1,      200.000,      -80.000,        0.000,   0.911444E+04, 
 1988,   61,    1,      240.000,      -80.000,        0.000,   0.925340E+04, 
 1988,   61,    1,      280.000,      -80.000,        0.000,   0.932064E+04, 
 1988,   61,    1,      320.000,      -80.000,        0.000,   0.939710E+04, 
 1988,   61,    1,      360.000,      -80.000,        0.000,   0.935418E+04, 
 1988,   61,    1,      400.000,      -80.000,        0.000,   0.932794E+04, 
 1988,   61,    1,      440.000,      -80.000,        0.000,   0.939142E+04, 
 1988,   61,    1,      480.000,      -80.000,        0.000,   0.964126E+04, 
 1988,   61,    1,      520.000,      -80.000,        0.000,   0.935439E+04, 
 1988,   61,    1,      560.000,      -80.000,        0.000,   0.940466E+04, 
 1988,   61,    1,      600.000,      -80.000,        0.000,   0.931420E+04, 
 1988,   61,    1,      640.000,      -80.000,        0.000,   0.940202E+04, 
 1988,   61,    1,      680.000,      -80.000,        0.000,   0.952755E+04, 
 1988,   61,    1,      720.000,      -80.000,        0.000,   0.928970E+04, 
 1988,   61,    1,      760.000,      -80.000,        0.000,   0.951628E+04, 
 1988,   61,    1,      800.000,      -80.000,        0.000,   0.914755E+04, 
 1988,   61,    1,        0.000,      -60.000,        0.000,   0.581380E+04, 
 1988,   61,    1,       40.000,      -60.000,        0.000,   0.739272E+04, 
 1988,   61,    1,       80.000,      -60.000,        0.000,   0.875692E+04, 
 1988,   61,    1,      120.000,      -60.000,        0.000,   0.101524E+05, 
 1988,   61,    1,      160.000,      -60.000,        0.000,   0.106236E+05, 
 1988,   61,    1,      200.000,      -60.000,        0.000,   0.109007E+05, 
 1988,   61,    1,      240.000,      -60.000,        0.000,   0.108987E+05, 
 1988,   61,    1,      280.000,      -60.000,        0.000,   0.111873E+05, 
 1988,   61,    1,      320.000,      -60.000,        0.000,   0.114315E+05, 
 1988,   61,    1,      360.000,      -60.000,        0.000,   0.112403E+05, 
 1988,   61,    1,      400.000,      -60.000,        0.000,   0.113653E+05, 
 1988,   61,    1,      440.000,      -60.000,        0.000,   0.113829E+05, 
 1988,   61,    1,      480.000,      -60.000,        0.000,   0.114227E+05, 
 1988,   61,    1,      520.000,      -60.000,        0.000,   0.113340E+05, 
 1988,   61,    1,      560.000,      -60.000,        0.000,   0.108535E+05, 
 1988,   61,    1,      600.000,      -60.000,        0.000,   0.115318E+05, 
 1988,   61,    1,      640.000,      -60.000,        0.000,   0.113675E+05, 
 1988,   61,    1,      680.000,      -60.000,        0.000,   0.114016E+05, 
 1988,   61,    1,      720.000,      -60.000,        0.000,   0.112521E+05, 
 1988,   61,    1,      760.000,      -60.000,        0.000,   0.117670E+05, 
 1988,   61,    1,      800.000,      -60.000,        0.000,   0.110296E+05, 
 1988,   61,    1,        0.000,      -40.000,        0.000,   0.754820E+04, 
 1988,   61,    1,       40.000,      -40.000,        0.000,   0.108981E+05, 
 1988,   61,    1,       80.000,      -40.000,        0.000,   0.125721E+05, 
 1988,   61,    1,      120.000,      -40.000,        0.000,   0.145576E+05, 
 1988,   61,    1,      160.000,      -40.000,        0.000,   0.154474E+05, 
 1988,   61,    1,      200.000,      -40.000,        0.000,   0.159033E+05, 
 1988,   61,    1,      240.000,      -40.000,        0.000,   0.161689E+05, 
 1988,   61,    1,      280.000,      -40.000,        0.000,   0.164143E+05, 
 1988,   61,    1,      320.000,      -40.000,        0.000,   0.163465E+05, 
 1988,   61,    1,      360.000,      -40.000,        0.000,   0.167151E+05, 
 1988,   61,    1,      400.000,      -40.000,        0.000,   0.167463E+05, 
 1988,   61,    1,      440.000,      -40.000,        0.000,   0.168536E+05, 
 1988,   61,    1,      480.000,      -40.000,        0.000,   0.169715E+05, 
 1988,   61,    1,      520.000,      -40.000,        0.000,   0.169493E+05, 
 1988,   61,    1,      560.000,      -40.000,        0.000,   0.169966E+05, 
 1988,   61,    1,      600.000,      -40.000,        0.000,   0.166684E+05, 
 1988,   61,    1,      640.000,      -40.000,        0.000,   0.170333E+05, 
 1988,   61,    1,      680.000,      -40.000,        0.000,   0.169575E+05, 
 1988,   61,    1,      720.000,      -40.000,        0.000,   0.170288E+05, 
 1988,   61,    1,      760.000,      -40.000,        0.000,   0.169908E+05, 
 1988,   61,    1,      800.000,      -40.000,        0.000,   0.169189E+05, 
 1988,   61,    1,        0.000,      -20.000,        0.000,   0.127365E+05, 
 1988,   61,    1,       40.000,      -20.000,        0.000,   0.195605E+05, 
 1988,   61,    1,       80.000,      -20.000,        0.000,   0.230098E+05, 
 1988,   61,    1,      120.000,      -20.000,        0.000,   0.266166E+05, 
 1988,   61,    1,      160.000,      -20.000,        0.000,   0.288811E+05, 
 1988,   61,    1,      200.000,      -20.000,        0.000,   0.303023E+05, 
 1988,   61,    1,      240.000,      -20.000,        0.000,   0.316304E+05, 
 1988,   61,    1,      280.000,      -20.000,        0.000,   0.325677E+05, 
 1988,   61,    1,      320.000,      -20.000,        0.000,   0.330634E+05, 
 1988,   61,    1,      360.000,      -20.000,        0.000,   0.332934E+05, 
 1988,   61,    1,      400.000,      -20.000,        0.000,   0.337588E+05, 
 1988,   61,    1,      440.000,      -20.000,        0.000,   0.341646E+05, 
 1988,   61,    1,      480.000,      -20.000,        0.000,   0.342664E+05, 
 1988,   61,    1,      520.000,      -20.000,        0.000,   0.342050E+05, 
 1988,   61,    1,      560.000,      -20.000,        0.000,   0.342694E+05, 
 1988,   61,    1,      600.000,      -20.000,        0.000,   0.346560E+05, 
 1988,   61,    1,      640.000,      -20.000,        0.000,   0.348322E+05, 
 1988,   61,    1,      680.000,      -20.000,        0.000,   0.344389E+05, 
 1988,   61,    1,      720.000,      -20.000,        0.000,   0.347162E+05, 
 1988,   61,    1,      760.000,      -20.000,        0.000,   0.347309E+05, 
 1988,   61,    1,      800.000,      -20.000,        0.000,   0.347996E+05, 
 1988,   61,    1,        0.000,        0.000,        0.000,   0.151286E+06, 
 1988,   61,    1,       40.000,        0.000,        0.000,   0.847428E+06, 
 1988,   61,    1,       80.000,        0.000,        0.000,   0.880837E+06, 
 1988,   61,    1,      120.000,        0.000,        0.000,   0.894885E+06, 
 1988,   61,    1,      160.000,        0.000,        0.000,   0.892633E+06, 
 1988,   61,    1,      200.000,        0.000,        0.000,   0.890299E+06, 
 1988,   61,    1,      240.000,        0.000,        0.000,   0.899091E+06, 
 1988,   61,    1,      280.000,        0.000,        0.000,   0.901603E+06, 
 1988,   61,    1,      320.000,        0.000,        0.000,   0.896138E+06, 
 1988,   61,    1,      360.000,        0.000,        0.000,   0.902886E+06, 
 1988,   61,    1,      400.000,        0.000,        0.000,   0.895202E+06, 
 1988,   61,    1,      440.000,        0.000,        0.000,   0.901142E+06, 
 1988,   61,    1,      480.000,        0.000,        0.000,   0.907336E+06, 
 1988,   61,    1,      520.000,        0.000,        0.000,   0.902281E+06, 
 1988,   61,    1,      560.000,        0.000,        0.000,   0.908651E+06, 
 1988,   61,    1,      600.000,        0.000,        0.000,   0.915121E+06, 
 1988,   61,    1,      640.000,        0.000,        0.000,   0.905642E+06, 
 1988,   61,    1,      680.000,        0.000,        0.000,   0.911571E+06, 
 1988,   61,    1,      720.000,        0.000,        0.000,   0.904617E+06, 
 1988,   61,    1,      760.000,        0.000,        0.000,   0.904804E+06, 
 1988,   61,    1,      800.000,        0.000,        0.000,   0.910598E+06, 
 1988,   61,    1,        0.000,       20.000,        0.000,   0.123116E+05, 
 1988,   61,    1,       40.000,       20.000,        0.000,   0.286366E+05, 
 1988,   61,    1,       80.000,       20.000,        0.000,   0.541712E+05, 
 1988,   61,    1,      120.000,       20.000,        0.000,   0.670337E+05, 
 1988,   61,    1,      160.000,       20.000,        0.000,   0.783040E+05, 
 1988,   61,    1,      200.000,       20.000,        0.000,   0.874698E+05, 
 1988,   61,    1,      240.000,       20.000,        0.000,   0.938368E+05, 
 1988,   61,    1,      280.000,       20.000,        0.000,   0.978971E+05, 
 1988,   61,    1,      320.000,       20.000,        0.000,   0.100405E+06, 
 1988,   61,    1,      360.000,       20.000,        0.000,   0.103875E+06, 
 1988,   61,    1,      400.000,       20.000,        0.000,   0.105630E+06, 
 1988,   61,    1,      440.000,       20.000,        0.000,   0.105912E+06, 
 1988,   61,    1,      480.000,       20.000,        0.000,   0.107089E+06, 
 1988,   61,    1,      520.000,       20.000,        0.000,   0.108083E+06, 
 1988,   61,    1,      560.000,       20.000,        0.000,   0.109226E+06, 
 1988,   61,    1,      600.000,       20.000,        0.000,   0.109299E+06, 
 1988,   61,    1,      640.000,       20.000,        0.000,   0.109087E+06, 
 1988,   61,    1,      680.000,       20.000,        0.000,   0.110008E+06, 
 1988,   61,    1,      720.000,       20.000,        0.000,   0.111002E+06, 
 1988,   61,    1,      760.000,       20.000,        0.000,   0.110104E+06, 
 1988,   61,    1,      800.000,       20.000,        0.000,   0.110518E+06, 
 1988,   61,    1,        0.000,       40.000,        0.000,   0.735521E+04, 
 1988,   61,    1,       40.000,       40.000,        0.000,   0.104235E+05, 
 1988,   61,    1,       80.000,       40.000,        0.000,   0.150318E+05, 
 1988,   61,    1,      120.000,       40.000,        0.000,   0.240798E+05, 
 1988,   61,    1,      160.000,       40.000,        0.000,   0.344283E+05, 
 1988,   61,    1,      200.000,       40.000,        0.000,   0.432369E+05, 
 1988,   61,    1,      240.000,       40.000,        0.000,   0.510852E+05, 
 1988,   61,    1,      280.000,       40.000,        0.000,   0.570011E+05, 
 1988,   61,    1,      320.000,       40.000,        0.000,   0.616837E+05, 
 1988,   61,    1,      360.000,       40.000,        0.000,   0.655333E+05, 
 1988,   61,    1,      400.000,       40.000,        0.000,   0.683972E+05, 
 1988,   61,    1,      440.000,       40.000,        0.000,   0.700408E+05, 
 1988,   61,    1,      480.000,       40.000,        0.000,   0.725008E+05, 
 1988,   61,    1,      520.000,       40.000,        0.000,   0.735703E+05, 
 1988,   61,    1,      560.000,       40.000,        0.000,   0.749784E+05, 
 1988,   61,    1,      600.000,       40.000,        0.000,   0.754285E+05, 
 1988,   61,    1,      640.000,       40.000,        0.000,   0.763578E+05, 
 1988,   61,    1,      680.000,       40.000,        0.000,   0.771858E+05, 
 1988,   61,    1,      720.000,       40.000,        0.000,   0.777382E+05, 
 1988,   61,    1,      760.000,       40.000,        0.000,   0.770882E+05, 
 1988,   61,    1,      800.000,       40.000,        0.000,   0.782214E+05, 
 1988,   61,    1,        0.000,       60.000,        0.000,   0.522676E+04, 
 1988,   61,    1,       40.000,       60.000,        0.000,   0.700001E+04, 
 1988,   61,    1,       80.000,       60.000,        0.000,   0.890413E+04, 
 1988,   61,    1,      120.000,       60.000,        0.000,   0.126180E+05, 
 1988,   61,    1,      160.000,       60.000,        0.000,   0.174849E+05, 
 1988,   61,    1,      200.000,       60.000,        0.000,   0.240903E+05, 
 1988,   61,    1,      240.000,       60.000,        0.000,   0.303756E+05, 
 1988,   61,    1,      280.000,       60.000,        0.000,   0.363765E+05, 
 1988,   61,    1,      320.000,       60.000,        0.000,   0.404352E+05, 
 1988,   61,    1,      360.000,       60.000,        0.000,   0.453504E+05, 
 1988,   61,    1,      400.000,       60.000,        0.000,   0.492278E+05, 
 1988,   61,    1,      440.000,       60.000,        0.000,   0.520447E+05, 
 1988,   61,    1,      480.000,       60.000,        0.000,   0.549249E+05, 
 1988,   61,    1,      520.000,       60.000,        0.000,   0.570220E+05, 
 1988,   61,    1,      560.000,       60.000,        0.000,   0.586319E+05, 
 1988,   61,    1,      600.000,       60.000,        0.000,   0.589200E+05, 
 1988,   61,    1,      640.000,       60.000,        0.000,   0.611546E+05, 
 1988,   61,    1,      680.000,       60.000,        0.000,   0.613838E+05, 
 1988,   61,    1,      720.000,       60.000,        0.000,   0.622043E+05, 
 1988,   61,    1,      760.000,       60.000,        0.000,   0.635089E+05, 
 1988,   61,    1,      800.000,       60.000,        0.000,   0.635410E+05, 
 1988,   61,    1,        0.000,       80.000,        0.000,   0.451817E+04, 
 1988,   61,    1,       40.000,       80.000,        0.000,   0.603352E+04, 
 1988,   61,    1,       80.000,       80.000,        0.000,   0.775121E+04, 
 1988,   61,    1,      120.000,       80.000,        0.000,   0.886063E+04, 
 1988,   61,    1,      160.000,       80.000,        0.000,   0.107483E+05, 
 1988,   61,    1,      200.000,       80.000,        0.000,   0.134361E+05, 
 1988,   61,    1,      240.000,       80.000,        0.000,   0.170393E+05, 
 1988,   61,    1,      280.000,       80.000,        0.000,   0.208149E+05, 
